,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2018-02-28,2,2,134,134.22918919748423,0.5107066616664548,0.7609300604510176,0.5,0.99,0.9,-10.0,-0.8,-0.05
2018-03-31,2,4,9,100.68866595139818,0.37241742293026353,0.7087987430571623,0.8,0.99,0.99,-7.0,-0.8,-0.19999999999999996
2018-04-30,2,2,10,98.9796799389377,0.32496379565315064,0.7904997854160286,0.5,0.5,0.99,-7.0,-7.0,-0.19999999999999996
2018-05-31,2,2,10,116.33546404027075,0.3322586244708058,0.7636425660565977,0.5,0.5,0.99,-9.0,-6.0,-0.19999999999999996
2018-06-30,2,2,119,89.14211230052433,0.3129746343603049,0.8154463313264685,0.6,0.5,0.7,-8.0,-6.0,-0.05
2018-07-31,2,2,2,88.50172613902186,0.8297432723231145,0.11550244193761063,0.5,0.99,0.99,-8.0,-0.8,-0.8
2018-08-31,2,2,2,109.47224321439161,0.8341148097777646,0.11275622073024595,0.5,0.99,0.99,-6.0,-0.8,-0.8
2018-09-30,2,4,110,101.90774239371136,0.22100508338093414,0.8655280368644738,0.6,0.99,0.9,-9.0,-0.6000000000000001,-0.05
2018-10-31,2,5,130,149.82313455444077,0.301295891940488,0.7869134870114692,0.6,0.99,0.8,-10.0,-0.4,-0.05
2018-11-30,2,2,131,120.13451741515259,0.3707106232806301,0.784598946022363,0.9,0.99,0.9,-8.0,-0.6000000000000001,-0.05
2018-12-31,2,2,153,139.42297654291858,0.28909745808071796,0.774022027292332,0.5,0.7,0.5,-20.0,-9.0,-0.05
2019-01-31,2,5,128,87.21476097485137,0.3606661923592764,0.7917497109932503,0.5,0.99,0.9,-9.0,-0.4,-0.05
2019-02-28,2,2,135,95.78306382319731,0.2296133097467621,0.7501753451248728,0.5,0.99,0.9,-6.0,-0.8,-0.05
2019-03-31,2,2,144,139.13958201128204,0.22826905874994063,0.7842995567685418,0.5,0.5,0.7,-15.0,-10.0,-0.05
2019-04-30,2,2,2,128.75361743792047,0.6971699356450073,0.21660078664419843,0.8,0.99,0.99,-5.0,-0.6000000000000001,-0.6000000000000001
2019-05-31,2,2,128,168.6657622470477,0.27394494701086036,0.821966558566211,0.8,0.8,0.7,-20.0,-20.0,-0.05
2019-06-30,2,2,2,106.52699141721281,0.6496408965994588,0.2537569458105795,0.8,0.99,0.99,-7.0,-0.6000000000000001,-0.6000000000000001
2019-07-31,2,4,4,167.85842413347874,0.3674788582720081,0.7411415258451717,0.5,0.99,0.99,-8.0,-0.4,-0.4
2019-08-31,2,4,4,211.12235588271872,0.6120278859717687,0.24649197892509134,0.7,0.99,0.99,-6.0,-0.4,-0.4
2019-09-30,2,3,3,163.8518985404636,0.692110101817056,0.21690283371385158,0.7,0.99,0.99,-6.0,-0.4,-0.4
2019-10-31,2,3,3,156.3130914420579,0.7070866852720065,0.20479204038351276,0.7,0.99,0.99,-6.0,-0.8,-0.8
2019-11-30,2,3,3,120.86220849317598,0.6923182408653284,0.21643670541537688,0.8,0.99,0.99,-15.0,-0.8,-0.8
2019-12-31,2,2,2,157.42203716285078,0.6968414073258291,0.2170196999125694,0.6,0.99,0.99,-10.0,-0.6000000000000001,-0.6000000000000001
2020-01-31,2,2,118,191.5538447237528,0.30164973399019274,0.8474185628977254,0.8,0.6,0.9,-30.0,-15.0,-0.05
2020-02-29,2,2,4,163.95166888377395,0.4312768152233971,0.7587610396458422,0.5,0.99,0.99,-10.0,-0.8,-0.6000000000000001
2020-03-31,2,2,20,329.17015997043467,0.4505246535008395,0.7383463451043824,0.8,0.7,0.99,-25.0,-20.0,-0.1
2020-04-30,2,2,100,233.48419173153246,0.39503385173459177,0.8902400478072738,0.5,0.5,0.9,-9.0,-20.0,-0.05
2020-05-31,2,2,122,233.47413319483857,0.4114517721985092,0.8063613612373312,0.5,0.6,0.7,-9.0,-15.0,-0.05
2020-06-30,2,3,3,149.5496042523333,0.7500019168512224,0.17065171471421028,0.5,0.99,0.99,-15.0,-0.8,-0.8
2020-07-31,2,3,3,181.45177264382662,0.760231374106801,0.16271615520190216,0.5,0.99,0.99,-10.0,-0.8,-0.8
2020-08-31,2,3,4,126.2309605884728,0.5653909541904945,0.7364057281020226,0.5,0.99,0.99,-6.0,-1.0,-0.8
2020-09-30,2,3,3,147.5529388386395,0.6564226422401452,0.8037284533892599,0.5,0.99,0.99,-9.0,-0.6000000000000001,-0.6000000000000001
2020-10-31,2,2,101,121.818916859219,0.5804003307765369,0.8125943971769821,0.8,0.99,0.5,-8.0,-0.6000000000000001,-0.05
2020-11-30,2,3,36,195.10684849108762,0.4768531576148648,0.7808113651244838,0.6,0.99,0.99,-20.0,-0.6000000000000001,-0.05
2020-12-31,2,2,38,198.63914255513654,0.4213816489792303,0.7799780919930374,0.7,0.6,0.99,-8.0,-10.0,-0.05
2021-01-31,2,3,100,159.6162274857996,0.558530848737794,0.8345672122337987,0.8,0.99,0.9,-10.0,-0.6000000000000001,-0.05
2021-02-28,2,2,156,153.29863332151612,0.5080648303952411,0.7359020994460369,0.5,0.99,0.7,-25.0,-0.6000000000000001,-0.05
2021-03-31,3,2,128,132.49586415687656,0.32555143681478904,0.778438482878146,0.8,0.5,0.9,-7.0,-15.0,-0.05
2021-04-30,3,2,146,106.46307051077412,0.2640762133961498,0.7622500127165671,0.6,0.9,0.9,-8.0,-15.0,-0.05
2021-05-31,3,3,3,110.18608298652904,0.6290428993814471,0.25369303392443515,0.5,0.99,0.99,-7.0,-0.4,-0.4
2021-06-30,2,3,3,120.86066031013685,0.6227968766347011,0.2600443454536945,0.5,0.99,0.99,-20.0,-0.4,-0.4
