,calinski_harabasz_Nclusters,silhouette_Nclusters,davies_bouldin_Nclusters,calinski_harabasz_score,silhouette_score,davies_bouldin_score,calinski_harabasz_damping,silhouette_damping,davies_bouldin_damping,calinski_harabasz_preference,silhouette_preference,davies_bouldin_preference
2007-09-30,2,2,2,101.6101216862201,0.745119402828061,0.1781242274176662,0.8,0.99,0.99,-9.0,-0.6000000000000001,-0.6000000000000001
2007-10-31,2,3,3,126.78899955839748,0.5637520285239874,0.7687382336948051,0.6,0.99,0.99,-8.0,-0.6000000000000001,-0.6000000000000001
2007-11-30,2,2,4,150.67559361255007,0.7007714182623889,0.700132176866808,0.5,0.99,0.99,-10.0,-0.8,-0.4
2007-12-31,2,2,13,152.80991233158912,0.5074006453967135,0.7812814779783473,0.5,0.99,0.99,-10.0,-1.0,-0.1
2008-01-31,2,3,90,93.27310388317511,0.5076407389954556,0.8098811843200656,0.5,0.99,0.7,-10.0,-0.6000000000000001,-0.05
2008-02-29,2,2,88,117.44070638418462,0.4914644123551211,0.771436913523289,0.5,0.99,0.7,-10.0,-0.8,-0.05
2008-03-31,2,2,7,116.397224860994,0.5510175853063037,0.560990588904451,0.5,0.99,0.99,-8.0,-1.0,-0.19999999999999996
2008-04-30,2,4,9,120.83150082856945,0.5266977116079002,0.7641403580981144,0.5,0.99,0.99,-6.0,-0.8,-0.19999999999999996
2008-05-31,2,4,30,109.26446177931678,0.5368143282330362,0.7977711548140919,0.5,0.99,0.99,-4.0,-0.8,-0.05
2008-06-30,2,3,32,139.65184777887114,0.5709802113739024,0.6417918661638143,0.9,0.99,0.99,-6.0,-0.8,-0.05
2008-07-31,2,3,92,126.03696758585583,0.5886481570178589,0.8175138001903075,0.5,0.99,0.6,-10.0,-0.8,-0.05
2008-08-31,2,3,27,103.99731994316602,0.6220695460440678,0.6298359988160288,0.5,0.99,0.99,-8.0,-0.8,-0.05
2008-09-30,2,2,42,123.37201876984894,0.49121446458320356,0.6803612061213171,0.6,0.7,0.99,-5.0,-8.0,-0.05
2008-10-31,2,2,24,166.9883881957466,0.2832514638239904,0.5734516943311877,0.5,0.5,0.99,-15.0,-15.0,-0.1
2008-11-30,2,2,31,252.95712419212555,0.4792934444969503,0.6901300959999441,0.9,0.99,0.99,-10.0,-0.6000000000000001,-0.05
